family,species,status
SMILACACEAE,Smilax subsessiliflora Duhamel,EX
ORCHIDACEAE,Pogoniopsis schenckii Cogn.,EX
SOLANACEAE,Schwenckia curviflora Benth.,EN
ORCHIDACEAE,Pteroglossa hilariana (Cogn.) Garay,EX
SOLANACEAE,Solanum spissifolium Sendtn,EX
ORCHIDACEAE,Rodriguezia rigida (Lindl.) Rchb.f.,VU
SYMPLOCACEAE,Symplocos atlantica Aranha,EN
ORCHIDACEAE,Sarcoglottis alexandrii Schltr. ex. Mansf.,EX
SYMPLOCACEAE,Symplocos itatiaiae Wawra,EN
ORCHIDACEAE,Sarcoglottis uliginosa Barb.Rodr.,VU
SYMPLOCACEAE,Symplocos rizzinii Occhioni,EX
ORCHIDACEAE,Saundersia mirabilis Rchb.f.,EN
TRIURIDACEAE,Sciaphila schwackeana Johow,EN
ORCHIDACEAE,Scuticaria itirapinensis Pabst,CR
TRIURIDACEAE,Triuris hyalina (Miers) F.Muell,EX
ORCHIDACEAE,Scuticaria strictifolia Hoehne,EX
TROPAEOLACEAE,Tropaeolum warmingianum Rohrb.,EN
ORCHIDACEAE,Thysanoglossa jordanensis Porto & Brade,EN
TURNERACEAE,Turnera hilaireana Urb.,EN
ORCHIDACEAE,Trichocentrum albococcineum Lindl. Belg.,VU
ULMACEAE,Phyllostylon rhamnoides (J.Poiss.) Taub.,EN
ORCHIDACEAE,Vanilla dietschiana Edwall,VU
URTICACEAE,Pilea rhizobola Miq.,EX
ORCHIDACEAE,Veyretia rupicola (Garay) F.Barros,EX
VELLOZIACEAE,Barbacenia gounelleana Beauverd,EN
ORCHIDACEAE,Warczewiczella wailesiana (Lindl.) Rchb.f. ex E.Morren,EN
VELLOZIACEAE,Barbacenia paranaensis L.B.Sm.,EN
ORCHIDACEAE,Zygostates pellucida Rchb.f.,EN
VELLOZIACEAE,Vellozia variabilis Mart. ex Schult. & Schilt.f.,EX
OROBANCHACEAE,Agalinis communis (Cham. & Schltdl.) D’Arcy,EN
VIOLACEAE,Hybanthus velutinus Schulze-Menz,EN
OROBANCHACEAE,Agalinis ramulifera Barringer,EX
VIOLACEAE,Viola gracillima A.St.-Hil.,EX
OROBANCHACEAE,Buchnera amethystina Cham. & Schltdl.,EX
VIOLACEAE,Viola subdimidiata A.St.-Hil.,EN
OROBANCHACEAE,Escobedia grandiflora (L.f.) Kuntze,EN
XYRIDACEAE,Xyris augusto-coburgii Szyszyl. ex Beck,EN
OROBANCHACEAE,Melasma rhinanthoides (Cham.) Benth.,EX
XYRIDACEAE,Xyris brevifolia Michx.,VU
OXALIDACEAE,Oxalis arachnoidea Progel,EN
XYRIDACEAE,Xyris capensis Thunb.,EX
OXALIDACEAE,Oxalis hyalotricha Lourteig,EN
XYRIDACEAE,Xyris cervii E.D.Lozano & Wand.,EN
PASSIFLORACEAE,Passiflora campanulata Mast.,EW
XYRIDACEAE,Xyris fallax Malme,EN
PASSIFLORACEAE,Passiflora ischnoclada Harms,CR
XYRIDACEAE,Xyris fusca L.A.Nilsson,EN
PASSIFLORACEAE,Passiflora malacophylla Mast.,EX
XYRIDACEAE,Xyris longifolia Mart.,EX
PASSIFLORACEAE,Passiflora racemosa Brot.,EW
XYRIDACEAE,Xyris metallica Klotzsch ex Seub.,VU
PASSIFLORACEAE,Passiflora setulosa Killip,EW
XYRIDACEAE,Xyris obtusiuscula L.A.Nilsson,EX
PENTAPHYLACACEAE,Ternstroemia cuneifolia Gardner,EX
XYRIDACEAE,Xyris rigida Kunth,CR
PIPERACEAE,Peperomia adsurgens Yuncker,EX
XYRIDACEAE,Xyris stenophylla L.A.Nilsson,EX
PIPERACEAE,Peperomia apiahyensis Yuncker,EX
XYRIDACEAE,Xyris trachyphylla Mart.,EN
PIPERACEAE,Peperomia clivicola Yuncker,EX
XYRIDACEAE,Xyris uninervis Malme,VU
PIPERACEAE,Peperomia cooperi C.DC.,EX
XYRIDACEAE,Xyris vacillans Malme,EN
PIPERACEAE,Peperomia diaphanoides Dahlst.,EX
XYRIDACEAE,Xyris wawrae Heimerl.,EN
PIPERACEAE,Peperomia emarginella C.DC.,EX
PIPERACEAE,Peperomia gardneriana Miq.,EX
PIPERACEAE,Peperomia gracilis Dahlst.,EN
PIPERACEAE,Peperomia guarujana C.DC.,EX
PIPERACEAE,Peperomia hemmendorffii Yuncker,EX
PIPERACEAE,Peperomia hernandiifolia (Vahl) A.Dietr.,EX
PODOSTEMACEAE,Podostemum distichum (Cham.) Wedd.,VU
PIPERACEAE,Peperomia hydrocotyloides Miq.,EX
PODOSTEMACEAE,Podostemum ovatum C.T.Philbrick & Novelo,EN
PIPERACEAE,Peperomia itatiaiana Yuncker,EX
PODOSTEMACEAE,Podostemum rutifolium Warm.,EN
PIPERACEAE,Peperomia loefgrenii Yuncker,EX
POLYGALACEAE,Polygala brasiliensis L.,EN
PIPERACEAE,Peperomia mosenii Dahlst.,EX
POLYGALACEAE,Polygala galioides Poir.,EX
PIPERACEAE,Peperomia oreophilla Hensch.,EX
POLYGALACEAE,Polygala molluginifolia A.St.-Hil.,EX
PIPERACEAE,Peperomia quadrifolia Miq.,EX
POLYGALACEAE,Polygala pumila Norl.,EX
PIPERACEAE,Peperomia rostulatiformis Yuncker,EX
POLYGALACEAE,Polygala stephaniana Marques,EX
PIPERACEAE,Peperomia schwackei C.DC.,EN
POLYGALACEAE,Polygala tamariscea Mart. ex A.W.Benn.,EX
PIPERACEAE,Peperomia subrubrispica C.DC.,EX
PONTEDERIACEAE,Heteranthera reniformis Ruiz & Pav.,VU
PIPERACEAE,Peperomia trinervis Ruiz & Pav.,EN
PONTEDERIACEAE,Heteranthera zosterifolia Mart.,VU
PIPERACEAE,Peperomia turbinata Dahlst.,EX
PORTULACACEAE,Portulaca amilis Speg.,VU
PIPERACEAE,Peperomia velloziana Miq.,EX
PORTULACACEAE,Portulaca halimoides L.,EX
PIPERACEAE,Piper amparoense Yuncker,EX
PRIMULACEAE,Anagallis barbata (P.Taylor) Kupicha,EN
PIPERACEAE,Piper anostachyum Yuncker,EN
PRIMULACEAE,Clavija spinosa (Vell.) Mez,EN
PIPERACEAE,Piper crassistilum Yuncker,EX
PRIMULACEAE,Lysimachia buxifolia Molina,EN
